,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Supply-Demand Ratio,Number_of_Past_Rides_Gaussian
0,2,2,-1.2638949051456227,0.488712923552811,3,1,-0.25037099939044566,-0.4330996827184974,0.35413023981248287,-1.0968035620935135
1,1,2,0.7498179139408655,-0.45253787926183997,1,0,-1.1361683784624454,-1.0798695389043307,1.0982512123502577,0.5744599931693581
2,0,2,-1.7075943398595947,-0.6132917491038199,0,1,-0.5230201636719,-0.17706852913709914,1.363205994352543,-5.199337582605575
3,0,1,0.5791642852047224,0.12145506355934221,0,1,0.6766291907188404,0.5625155184107528,-0.5398247167235721,0.4307272992954577
4,0,1,0.8180793654353228,-1.1186297953091835,0,0,1.013862013536184,1.0986914031161605,-0.7087193936574856,0.6352697098765966
5,2,2,1.1252558971603803,-1.7160891523693524,3,0,0.544342551399546,-0.12096267291127027,0.7657089262830622,0.9350792199106229
6,1,1,-0.20584240698153575,0.3509997089528083,0,1,-1.6153702018491878,-1.5047102219765827,0.1812447471077939,-0.15250597424624424
7,0,0,1.1252558971603803,-1.5322253839390196,0,1,-1.0636464496396205,-0.7127912572066609,0.9179340627261545,0.9350792199106229
8,0,2,0.7156871881936369,-1.1875534117161435,1,0,0.544342551399546,0.7181937520601045,-1.2808673130679444,0.5448472393466712
9,0,2,-0.9908490991677938,-0.9348501883564805,3,1,0.544342551399546,0.19669658791361172,-1.4786447894382855,-0.7990827621351786
10,2,1,1.6713475091160381,0.9935786394021413,2,0,1.4294943507741884,1.5202312743523683,-1.1656128575857863,2.1661067528923295
11,0,0,-1.1956334536511657,-0.26883888681610263,1,1,0.9004680325185587,0.2803396010427945,0.9360083302261731,-1.008673357646798
12,0,0,-0.0010580524981640463,-0.314761704307215,2,0,1.3594580694624596,0.663602866119008,-0.4444139316301906,-0.025322183413346164
13,1,2,1.2959095258965234,-0.08516016936152669,3,1,-0.38783301043327334,-0.36502561840540354,1.0746128547590694,1.1442372651002075
14,0,1,0.8180793654353228,1.5900815720358137,0,1,-0.008461198995025763,-0.19208091889088005,-1.1172923207823124,0.6352697098765966
15,2,2,-0.6836725674427364,0.5805162321847004,0,1,0.8104476437275803,0.4355777970976387,-0.575370695308781,-0.5157047936930385
16,0,2,-0.5130189387065933,-0.7510940465782766,0,1,-0.9356476632803508,-0.6619118007409945,1.3582380540068504,-0.3487556955170447
17,1,2,-0.9908490991677938,1.039469322839926,0,0,-1.6328076708926873,-1.8576548211954125,-0.5926264243101261,-0.7990827621351786
18,1,0,-0.03518877824539266,0.12145506355934221,1,1,-1.5103095223288951,-1.346764780218713,-1.085318322515186,-0.037988351230282213
19,1,2,-0.888456921926108,1.2918504059646516,1,1,-0.30958062322146895,0.11181695362565393,-1.0100670685580748,-0.6985257103450601
20,2,1,-1.5028099853762231,1.5900815720358137,0,1,-1.7023565532617135,-1.6363615816318433,0.21086066499574938,-1.5497059007365892
21,1,2,0.9887329941714658,0.5116641593867762,3,0,-1.6328076708926873,-1.7527701430330629,0.35413023981248287,0.799082762135179
22,0,1,-1.5028099853762231,-0.6592244669655907,2,0,0.7880419770618061,0.15278772599679205,-1.0627191770506994,-1.5497059007365892
23,2,1,-1.3662870823873088,-1.5092443618371807,1,1,-1.0999618770392592,-0.8517470281069697,0.35413023981248287,-1.2758170414017849
24,1,0,0.7498179139408655,-1.026736994365516,3,1,-0.7314550875877631,-0.7136897221695738,-0.1346949401727666,0.5744599931693581
25,0,1,-0.4788882129593647,1.26890788933231,1,0,1.3129314824908975,0.23636443180599903,-0.9754872732920268,-0.3353332195143981
26,0,0,0.5450335594574938,0.30509306726296875,2,1,-1.3690120421804743,-1.0283177513602402,0.1624784053635303,0.40310812065628565
27,2,2,0.88634081692978,1.0165241065512212,3,0,1.2202814390096046,1.442754444628103,1.5010332617857445,0.6985257103450605
28,1,1,-0.3764960357176788,-0.7970309369453698,1,1,0.566279951330817,0.21892550730188842,0.49916015824503845,-0.2690661378543141
29,1,2,0.1354648504907504,-0.36068580069501976,3,1,0.6102885734228797,0.8966410003984473,1.0746128547590694,0.08873448029941519
30,1,2,-1.2638949051456227,-0.6132917491038199,2,1,-0.4266778637556271,-0.42242413139480256,-0.719493365135181,-1.0968035620935135
31,1,0,1.500693880379895,1.2230221321690387,1,1,1.105246345977927,0.6369160332654784,1.3970983286281267,1.5239337860472564
32,2,0,-0.3764960357176788,0.8788475077683038,0,1,-1.045447113669177,-1.0966256646085808,-0.982969635006127,-0.2690661378543141
33,1,0,0.7839486396880941,-1.1416039480450944,1,1,0.05341163458657555,0.6410253944093108,1.152670855160277,0.6045853465832371
34,1,1,-0.5471496644538218,-1.555206832698392,2,0,-0.5038367674875563,-0.37357584122860354,0.21936581724479617,-0.40310812065628554
35,0,2,1.6030860576215809,-1.3254112305897505,2,1,-0.2305301766476395,0.1642595377146757,0.11377610113216945,1.8763585618945953
36,1,0,0.06720339899629318,0.1673662995533362,0,1,-0.1706798640391568,0.49173414492840806,-0.14915041266766965,0.025322183413346442
37,0,0,0.5109028337102652,1.429500492092292,1,1,-0.028959871819288753,0.7237186888218169,0.7947678553558875,0.3757931145253799
38,1,1,-1.6393328883651377,0.0755426541593924,2,0,-0.2701590000034533,-0.6637655214272317,-1.0733642950557747,-1.876358561894595
39,0,1,-1.2297641793983942,1.26890788933231,1,1,1.4998206663254772,1.3591815823677966,-0.9714930020944903,-1.0517172529984826
40,2,2,1.2959095258965234,-1.2105287270935647,3,1,-0.21063546144754947,-0.09102282721681519,0.35413023981248287,1.1442372651002075
41,2,2,0.16959557623797902,0.5575658126067704,3,0,-1.0999618770392592,-1.2169338111226289,-1.2731701160774616,0.11418529432142852
42,1,1,0.06720339899629318,0.6952643028113913,1,0,0.47880378636836834,0.862408017061609,1.7379008543005565,0.025322183413346442
43,0,1,1.330040251643752,-0.8889089926019519,0,1,1.4061163889018626,0.6259105665720112,-1.4786447894382855,1.22064034884735
44,2,2,-0.5130189387065933,0.4657614134268052,2,1,0.28477221559441573,-0.033403344181199834,-0.00367809921312751,-0.3487556955170447
